text,label
Artificial intelligence is transforming modern education systems.,0
AI is changing the way students learn and teachers teach.,0
Machine learning algorithms can detect patterns in large datasets.,0
The quick brown fox jumps over the lazy dog.,0
Climate change is a global challenge requiring immediate action.,0
Artificial intelligence is transforming modern education systems.,1
AI is changing the way students learn and teachers teach.,1
Machine learning algorithms can detect patterns in large datasets.,1
The quick brown fox jumps over the lazy dog.,1
Climate change is a global challenge requiring immediate action.,1
Education systems are being transformed by artificial intelligence.,1
Students and teachers are impacted by AI in modern classrooms.,1
Patterns in big data can be found using machine learning.,1
A fast brown fox leaps over a lazy dog.,1
Global warming demands urgent worldwide action.,1
